Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
666795;Şiştarovăţ;Sistarovat;Sistaroc,Sistarocz,Sistarovat,Sistarovecz,Sistaróc,Sistarócz,Sistaróvecz,Szisztarovecz,Şiştarovăţ;P;PPLA2;RO;Romania;;02;12402;;;374;;206;Europe/Bucharest;2012-06-12;Romania;46.01667, 21.73333
666843;Sârbi;Sarbi;Sarbi,Sirbi,Sârbi,Sîrbi;P;PPL;RO;Romania;;25;107519;;;1040;;477;Europe/Bucharest;2013-04-21;Romania;47.76184, 23.9449
666895;Sântion;Santion;Santion,Sintion,Sântion,Sîntion;P;PPL;RO;Romania;;05;27631;;;1453;;106;Europe/Bucharest;2013-04-21;Romania;47.09634, 21.8366
666963;Sânpaul;Sanpaul;Sanpaul,Sinpaul,Sînpaul,Sănpaul;P;PPLA2;RO;Romania;;13;59586;;;2523;;409;Europe/Bucharest;2012-06-12;Romania;46.88333, 23.41667
667091;Sinaia;Sinaia;Opstina Sinaia,Opština Sinaia,Sinaia,Sinaja,Sinaïa,shinaya,sinaia,sinaya,synaya,xi na ya,Синая,Синаја,Сіная,סינאיה,سينايا,سینایا,সিনায়া,სინაია,シナヤ,錫納亞,시나이아;P;PPLA2;RO;Romania;;30;131540;;;11918;;813;Europe/Bucharest;2019-09-05;Romania;45.35, 25.55
667201;Șilindru;Silindru;Erselend,Erselénd,Silindru,Silindrul,Şilindru,Şilindrul;P;PPL;RO;Romania;;05;31333;;;1019;;113;Europe/Bucharest;2013-04-21;Romania;47.43725, 22.04683
667245;Şicula;Sicula;Sicula,Şicula;P;PPLA2;RO;Romania;;02;12242;;;4503;;104;Europe/Bucharest;2012-06-12;Romania;46.43333, 21.75
667481;Secu;Secu;Secu,Secul;P;PPLA2;RO;Romania;;17;74171;;;1319;;261;Europe/Bucharest;2012-06-12;Romania;44.46667, 23.3
667520;Sebeșel;Sebesel;Sebesel,Sebeşel,Sebisel,Sebişel;P;PPL;RO;Romania;;01;7099;;;1094;;304;Europe/Bucharest;2013-04-21;Romania;45.88771, 23.56606
667560;Scurta;Scurta;;P;PPL;RO;Romania;;04;23948;;;1958;;202;Europe/Bucharest;2013-04-21;Romania;46.26133, 27.01548
667966;Sărmaşu;Sarmasu;Sarmas,Sarmasu,Sarmasu Mare,Sarmasul,Sărmaş,Sărmaşu,Şărmaşu Mare,Şărmaşul;P;PPLA2;RO;Romania;;27;119242;;;7371;;340;Europe/Bucharest;2012-06-12;Romania;46.75, 24.16667
667970;Şărmăşag;Sarmasag;Sarmasag,Şărmăşag;P;PPLA2;RO;Romania;;31;142881;;;6400;;234;Europe/Bucharest;2012-06-12;Romania;47.35, 22.83333
668056;Sarasău;Sarasau;Sarasau,Sărăsău;P;PPLA2;RO;Romania;;25;106620;;;2444;;257;Europe/Bucharest;2013-04-21;Romania;47.9551, 23.82874
668297;Săcueni;Sacueni;Sacuieni,Secueni,Szekelyhid,Székelyhíd;P;PPLA2;RO;Romania;;05;30915;;;7075;126;116;Europe/Bucharest;2020-02-12;Romania;47.35, 22.1
